team,mean_win,count_win
Leviatán,1.1111111111111112,15
Sentinels,1.0555555555555556,16
G2 Esports,1.1944444444444444,19
KRÜ Esports,0.6388888888888888,8
Bilibili Gaming,0.5833333333333334,8
FunPlus Phoenix,1.0833333333333333,15
Trace Esports,0.9166666666666666,14
EDward Gaming,1.1388888888888888,17
DRX,0.8333333333333334,12
Gen.G,1.9444444444444444,28
Paper Rex,1.3333333333333333,20
Talon Esports,0.5277777777777778,8
FUT Esports,0.8333333333333334,13
FNATIC,1.0555555555555556,16
Team Heretics,1.5277777777777777,21
Team Vitality,0.7777777777777778,12
