Teams,Rounds Played,Rating,Average Combat Score,Kills:Deaths,"Kill, Assist, Trade, Survive %",Average Damage Per Round,Kills Per Round,Assists Per Round,First Kills Per Round,First Deaths Per Round,Maximum Kills in a Single Map,Kills,Deaths,Assists,First Kills,First Deaths,mean_win,count_win
Bilibili Gaming,17091,0.0,198.34323432343237,1.022046204620462,0.0,133.55384615384617,209.04,100.49,13.07,12.22,5127,11889,11820,5664,742,707,0.5833333333333334,8
DRX,21104,1.0406645569620254,199.1962025316456,1.0874050632911392,73.27215189873418,130.5727848101266,222.29,92.25,30.52,30.66,5531,14683,14444,6160,2055,2145,0.8333333333333334,12
EDward Gaming,26597,0.90953125,200.1891304347826,1.0753695652173914,67.84375,129.60085836909872,328.24,134.96,22.02,24.14,7985,19233,18333,7830,1159,1243,1.1388888888888888,17
FNATIC,25255,1.0627807486631016,203.7546296296296,1.1494675925925926,73.51336898395722,134.57638888888889,309.06,134.54,43.59,43.41,7516,18068,16484,7831,2549,2494,1.0555555555555556,16
FUT Esports,23796,1.0561461794019933,199.7658536585366,1.0633170731707318,73.0531561461794,130.890243902439,288.38,129.76,40.03,42.13,7104,16734,16380,7526,2322,2452,0.8333333333333334,13
FunPlus Phoenix,29922,0.8786486486486486,206.13291139240508,1.0843459915611815,65.24324324324324,133.89112903225808,345.02,131.11,26.48,24.08,8721,21364,20803,8232,1764,1676,1.0833333333333333,15
G2 Esports,30443,1.0151851851851852,195.68695652173912,1.0155869565217392,72.4928774928775,128.6195652173913,315.41,145.03,44.39,47.27,7914,21057,21284,9267,2982,3115,1.1944444444444444,19
Gen.G,43541,1.0379787234042557,202.1217391304348,1.1048,73.00851063829788,133.29739130434783,412.31,172.3,59.64,53.05,10518,31225,29149,13119,4568,4116,1.9444444444444444,28
KRÜ Esports,19651,0.9880666666666668,192.88666666666663,1.0157333333333334,70.55666666666667,129.50333333333333,203.79,81.39,30.22,30.37,5097,13641,13658,5396,1968,1972,0.6388888888888888,8
Leviatán,26781,1.0677551020408165,206.3235294117647,1.1520098039215685,74.58600583090379,136.31617647058823,298.5,122.5,43.03,39.23,7582,19660,17748,8025,2862,2505,1.1111111111111112,15
Paper Rex,32313,1.0665360824742267,204.68173598553344,1.1071066907775768,74.20618556701031,134.5877034358047,401.62,177.7,56.9,52.4,9563,23461,22173,10153,3350,3133,1.3333333333333333,20
Sentinels,25969,1.0493617021276596,198.88297872340425,1.064627659574468,74.09042553191489,130.2872340425532,259.17,129.73,36.68,35.56,6540,18294,17270,8876,2693,2453,1.0555555555555556,16
Talon Esports,16527,0.9464240506329114,189.58227848101265,0.9695569620253164,68.98417721518987,125.60759493670886,210.04,78.24,30.36,33.95,5132,11020,11633,4115,1615,1717,0.5277777777777778,8
Team Heretics,34821,1.0536272040302268,202.76051188299817,1.1294881170018285,73.81108312342569,133.84826325411333,393.68,177.65,58.84,50.57,9740,24702,23641,11145,3714,3251,1.5277777777777777,21
Team Vitality,22251,0.9946355685131196,195.7142857142857,1.0144314868804665,70.66180758017492,128.92419825072886,234.78,107.44,33.84,34.69,5929,15324,15483,7138,2146,2295,0.7777777777777778,12
Trace Esports,23365,0.0,200.6140350877193,1.0440058479532164,0.0,125.47058823529412,241.66,102.36,11.76,11.83,6053,16629,16286,7050,960,925,0.9166666666666666,14
